,ali_uid,ins_id,bw_c1,bw_c2,bw_c3
3453,98051,ccb2fd42da8256b47c96b6391cf0b34c,27565,15470.132109552971,33983.49118634127
3454,98051,cd8cb1ebb7a3d67df3976dcd8e88cc96,2525,1261.38897058983,4150.102126775309
3455,98051,cdb2873db7f374ca239786b6d4605970,2285,1124.5328104574937,3971.257749376819
3456,98051,cdc7f4dad78ac1f44029e24daa8cf7d2,2125,97.10470813108361,506.50315767154103
3457,98051,ce2e2435f438bd719a4eaa274593a98e,1725,114.64784370458351,532.3150939587504
3458,98051,cebf131d03e20025b4cc4761da0e0d1d,1165,26.71421346991674,135.31018531881273
3459,98051,ced14d575c74190473553e12862911cf,2685,330.11734504416586,1548.3168532513082
3460,98051,cf0e05c053d90988d7942b4fc3f0033b,1085,8.801489403083336,64.15984338149428
3461,98051,cf4cfa6e613db21b8eae1cf14e29b361,7725,2478.6025335171653,6010.671618031338
3462,98051,cf8c529ede9e39f654b05e8427f7e045,605,16.729921288416662,107.72892337292433
3463,98051,cfadb90fa0c34430f576d29d26d86d0e,89805,93698.79731901242,151152.8318776656
3464,98051,cfb56741562aa3bb91f4dff67a2ac29e,73725,33234.4242532072,58996.24025786296
3465,98051,d09056c1e77ad0def245eaa84b16c6e8,49325,47360.0244287057,87784.65961812995
3466,98051,d139153d5126aaea019a08eaac1238c4,4845,1537.8519755143373,4236.123558729887
3467,98051,d17b10cdafed3a6ecf1eea2b2fc5c1df,19005,831.9506657458327,1952.8359899763018
3468,98051,d18aa4aaf8566097353c9a620c139d42,54685,44428.027498825766,82027.2143324744
3469,98051,d1ed70a46f9878810ca8d95acba1007f,1165,33.571027815916786,212.7964391000569
3470,98051,d2a7bcf52e9c7ce7c0b0588b79c04b8b,52205,50213.31117104372,91313.18494233304
3471,98051,d35e28d3ac846b125cd1a2fe0ef37d4f,76205,54862.661237538996,84833.72595836408
3472,98051,d39051edbc8bdb1ff482614dbd2c0ca4,525,11.275877785833321,80.12611705809832
3473,98051,d4504e3e81f5e50bce6c5823930b5591,2365,149.1477871487505,425.4083408787847
3474,98051,d519a466736c8938977518a5015a75a1,845,18.763458134249866,128.581123072654
3475,98051,d568382c04928ca63be843f68d82e0c7,71,0.1263429825,0.8521006442606449
3476,98051,d56c747a5beae0de0ae45d54f9141190,1325,40.22957651499995,200.3507950063795
3477,98051,d631e8a5649317edbc2e91ca84c9bda8,2045,113.77838698283338,570.0522125232965
3478,98051,d66e42d9da9ca0dc0cb968eb578a7c3e,1405,180.7804100227497,1377.862698705867
3479,98051,d6dbf082622b2a312c98cb6a5ac04142,39885,32951.694582645105,61828.270440660424
3480,98051,d725c94a2329a34865931e602e262b9b,1165,106.97786922466685,725.4855346865952
3481,98051,d73377f856833fb6bcf34e25af849930,1965,61.46797159075002,272.8287617303431
3482,98051,d7b80a92aedf99096c682a732a78734e,10685,1983.1090863605896,4943.4551494102925
3483,98051,d7be5281f277f085f26cb1c4397a24a6,125,8.737206297749989,89.32412853464484
3484,98051,d7ed35dc095b95f874da4159899d783e,30525,10053.193039514079,23399.752195598558
3485,98051,d8185cc22cd23e29c2f54b682844e537,1245,146.2606277139997,1309.0516743343323
3486,98051,d92f1e38683328eb8ff9a0850cd0aa9c,2285,212.24248732200087,1416.5472938865425
3487,98051,d9892fb3d94b8a84f3c739788551daf9,13645,3822.973326874562,8608.52243643254
3488,98051,da66613380e0635520763fe8fb9fd83c,23485,6993.897372995827,16753.787439353764
3489,98051,daa89df7c5cc8d507a1db844c2641b0a,7405,902.4293425469983,2332.92026524432
3490,98051,daae41c7f8b319c7e8b3aadf43f0d2be,90845,49118.12085796902,77621.48741000332
3491,98051,dadc6ac086b269cf0705e9981ceeed66,119805,38564.89353754688,58414.31991792285
3492,98051,db6f60f608658eac34a3e80954fef75b,1005,14.589095979666638,93.01704648882152
3493,98051,dbd043202fc0baf6104c9b5250416c2b,1645,195.83542836158273,1422.9791228938848
3494,98051,dbd64a0480239e1625de9a8186e06c83,96,7.7284600995000154,51.280380394309766
3495,98051,dbe17f9b3d5523da270c0c35142bc9de,31565,17799.988486766626,40121.218700325124
3496,98051,dc5e92671e6d7255089cd94e16d9d04c,1085,103.23770183150013,633.8121355231851
3497,98051,dc84bd0243e825deb76b730c00f663b5,205,83.42937621049977,841.6589130554348
3498,98051,dd3b191dd284465f6bee65e706f80c03,1165,22.56997652241657,137.12283672764897
3499,98051,de6ad3234cd3d067ae900829b434b411,1245,27.01979705033323,147.1963396947831
3500,98051,de6b4b761f0fb486f649eaeb812dce98,26845,17265.5118778042,39006.24092051759
3501,98051,deca7a128c2d181f28a1f147a5a0c47d,179245,72020.19856692829,99913.18597007543
3502,98051,e047025c983152dfa59fb1ae3e6bc805,14845,16533.634977205238,32704.37522571534
3503,98051,e09a6021ea842b4e302fdecda48420f4,149645,17214.325376406476,37548.433838356286
3504,98051,e0c0120ecf44a7063add093208d7b15b,5885,1885.0532097360763,5129.125472819433
3505,98051,e0e6f06550bb841e2fea849748618b9e,129005,112987.06033443306,171480.062175924
3506,98051,e1133eca9595d2f1d02259dc20ebadee,108605,68076.38469339204,98525.17384450883
3507,98051,e1831f2561c63a1ef24128905412528d,98045,37789.51068300531,56871.440125051886
3508,98051,e1b0d0a3d650c36ab8967b0a6d7c4440,13005,3904.1022218338253,9187.586780274287
3509,98051,e20d3042e36947d373b72315af3d5a5b,2685,270.024271713834,1406.3762006442994
3510,98051,e285cb7c26d0d78d5886073a9c45531c,765,14.703256642999975,82.64095083810389
3511,98051,e2a6a465c843172a01a1be0657bfb600,31565,7889.481042236138,18255.537420026958
3512,98051,e2f5525b827ed35b9737a8ad0465a410,10445,3778.316899957915,7695.040057003498
3513,98051,e32aca4deacf008598e2a4bce21e8d8e,91805,28764.120527674408,47216.83003289626
3514,98051,e331db056dcbbdba0e5b56520512f001,27325,28690.946101309215,61313.48544549198
3515,98051,e4016d5a2d01725b7d9016ab1012bfa4,46,7.251481576499998,67.15291178785264
3516,98051,e42aad42140983b9bd9842189d86f5f7,24285,11310.26159479167,25807.822898933668
