ali_uid,hw_c,bw_c2,all_cost
64389,1848153.505078121,40577764.16972534,42425917.674803466
98051,2574172.0,12352975.975143094,14927147.975143094
66394,1200952.0,6376939.873278196,7577891.873278196
48944,305534.0,6424294.135236248,6729828.135236248
22399,192172.0,3876602.019705174,4068774.019705174
31102,306392.4,2440171.525453178,2746563.925453178
52024,963412.0,1431436.0902467608,2394848.0902467608
78131,689328.0,1242441.4496007168,1931769.4496007168
80365,1309520.0,1622.458556266001,1311142.458556266
77787,335992.0,823872.9504854317,1159864.9504854316
25295,194516.0,925289.057095699,1119805.057095699
64892,596026.4000000001,384833.8161589809,980860.216158981
83822,123256.8,818531.162172845,941787.962172845
14878,82720.0,643014.009565742,725734.009565742
76645,108532.0,475381.4460367768,583913.4460367768
68873,581508.0,17.219591898999997,581525.219591899
4588,62322.4,363420.61850038805,425743.0185003881
2766,57184.0,257850.686277754,315034.686277754
89137,3004.0,292021.040896686,295025.040896686
13404,38512.0,209881.32572136304,248393.32572136304
12347,180224.0,35133.862290348,215357.86229034798
15301,91364.0,119636.47732582098,211000.47732582098
24018,6800.0,175481.582146324,182281.582146324
33259,32288.0,142378.09072132394,174666.09072132394
69166,164224.0,4900.012174871001,169124.012174871
48776,81884.0,60728.862564511,142612.86256451102
19570,79472.0,54762.702414565974,134234.70241456598
89110,120891.0,7173.911282240997,128064.911282241
59604,96638.0,21972.725858834012,118610.72585883402
15219,55580.0,49454.29195422703,105034.29195422702
46473,6816.0,90596.954062513,97412.954062513
55644,82968.0,6788.510889030003,89756.51088903
84953,5088.0,79429.61676376301,84517.61676376301
90665,65928.0,1550.396099874,67478.396099874
52759,63096.8,2445.1385518489983,65541.938551849
19346,42372.0,6989.196200948003,49361.196200948005
97163,27738.0,21474.282286308993,49212.282286309
62570,1312.0,40704.769198826005,42016.769198826005
27445,15886.0,23168.685029632998,39054.685029632994
9004,37576.791015625,26.596409724000008,37603.387425349
84661,36960.200000000004,16.087631373999987,36976.287631374005
63800,28744.0,5402.876278602999,34146.876278603
61851,32736.875,6.226702833999999,32743.101702834
53106,32408.0,36.60377559499997,32444.603775595
6224,27096.0,145.1303293709999,27241.130329371
70990,25909.600000000006,5.148110444000001,25914.748110444005
70642,19128.0,108.58527313500007,19236.585273135
7120,8584.0,8726.590752807002,17310.590752807002
23813,17284.4375,1.630522152000001,17286.068022152
52238,13908.0,2021.3649059150011,15929.364905915001
34465,14378.0,761.3137675760003,15139.313767576
69050,3536.0,10526.962007121,14062.962007121
40817,11740.0,0.02311992900000001,11740.023119929
60308,4800.0,5779.833221569001,10579.833221569
58019,9509.9375,2.5304000399999986,9512.46790004
88522,7396.0,33.412142043,7429.412142043
63689,4878.0,2287.7731299129987,7165.773129912999
52405,6896.0,49.029178985,6945.029178985
48174,5752.0,1162.5485490010003,6914.5485490010005
88203,6488.0,140.06065235400004,6628.060652354
2088,6120.0,15.510181525,6135.510181525
56312,1748.0,4310.635484829998,6058.635484829998
85953,3344.0,2417.736657355998,5761.7366573559975
24132,3844.0,1557.6355464039998,5401.635546404
63306,4706.0,7.4935121309999975,4713.493512131
72267,2628.0,1830.5531619040016,4458.553161904001
14448,360.0,3816.7157093429955,4176.715709342996
71679,600.0,3511.3887180849997,4111.388718085
50387,3996.0,25.6589172,4021.6589172
24924,2432.0,1419.085728774,3851.085728774
56850,2050.5625,1690.3573815329996,3740.9198815329996
63945,3578.4,4.234688829000005,3582.634688829
75839,2280.0,1212.5941037910002,3492.594103791
82397,3040.0,5.540472755999998,3045.540472756
95262,2868.0,16.272316679000003,2884.272316679
34207,2740.0,5.243348439000001,2745.243348439
87436,2648.0,75.16699762599995,2723.166997626
47287,2592.0,5.386354374,2597.386354374
11443,2432.0,101.60624954800002,2533.606249548
43698,2448.0,16.427685803000003,2464.427685803
34768,1848.0,349.613938553,2197.613938553
64032,2192.0,0.2460264029999999,2192.246026403
35328,2032.0,48.337970476,2080.337970476
48809,2004.0,0.455731353,2004.455731353
45215,1872.0,1.2365432729999994,1873.236543273
30410,1832.0,19.935467873999997,1851.935467874
71859,1668.0,65.15978102899999,1733.159781029
21765,1524.0,127.81367997300006,1651.813679973
89077,1528.01171875,107.56639987400003,1635.5781186240001
21861,1432.0,63.47958894899999,1495.479588949
62517,1404.0,5.238054507999999,1409.238054508
69133,1372.0,10.677336075000005,1382.677336075
87684,100.0,1276.786221789,1376.786221789
33304,1300.0,10.979283609000005,1310.979283609
89932,1284.0,11.509494248000005,1295.509494248
43988,1284.0,3.8683179989999994,1287.868317999
82150,1164.0,98.7292202400001,1262.7292202400001
81414,1100.0,56.54222677199995,1156.542226772
29791,416.0,717.4171505679997,1133.4171505679997
80868,1040.0,11.349947966000002,1051.349947966
16510,936.0,9.310698873000012,945.310698873
73071,916.0,4.441235147999989,920.441235148
62981,896.0,0.03299568300000003,896.032995683
79205,700.0,5.037701948999999,705.037701949
20525,600.0,104.58485825300004,704.584858253
75336,600.0,85.29876862099992,685.2987686209999
97683,648.0,1.9240326000000028,649.9240326
94454,600.0,6.249422402999999,606.249422403
55318,408.0,28.386191673000006,436.386191673
1775,428.0,1.248531795000001,429.248531795
27780,400.0,18.161425358999995,418.161425359
55628,408.0,0.7021608930000003,408.702160893
36840,408.0,0.3751266329999998,408.375126633
31016,400.0,5.160403079999998,405.16040308
58511,400.0,4.245983595000003,404.245983595
43094,328.0,1.8925558470000001,329.892555847
50327,304.0,1.2725295030000008,305.272529503
43556,300.0,1.507385690999999,301.507385691
10815,300.0,1.3126975470000004,301.312697547
42774,100.0,181.78583903499998,281.785839035
99553,200.0,55.972136997,255.972136997
70469,228.0,0.878860907,228.878860907
37930,208.0,8.788192227999987,216.78819222799999
24331,208.0,6.7331268720000015,214.733126872
15453,208.0,1.8489425850000012,209.848942585
23420,208.0,0.4144773779999999,208.414477378
36871,208.0,0.10175186699999997,208.101751867
91421,200.0,0.9475690770000003,200.947569077
9682,120.0,0.10197003600000006,120.101970036
99421,100.0,2.983403618999998,102.983403619
80306,100.0,2.1061921860000012,102.106192186
10812,100.0,1.2023191530000001,101.202319153
95929,100.0,1.1691427859999997,101.169142786
12843,100.0,1.0144583190000005,101.014458319
32303,100.0,0.8242027919999995,100.824202792
71867,100.0,0.6954570629999998,100.695457063
93859,100.0,0.06320475,100.06320475
