uuid,ali_uid,nc_name,ens_region_id,status,image_id,cores,memory,storage,os_type,os_name,start_time,end_time
"8196c88a6a6297723e0b08f86a7564b7","48944","25dfb0e74359bf84204dc8f2f70f23f5","hefei-cmcc","running","30234138bae2d470fc9f25a0dd6ceca9","16","32768","20480","linux","centos 6.9 x86_64","1595433600","1598112000"
"6f4041cf9065eb5fe73f8d1a201150d9","48944","1a5e2adc78dd47586c3aa4a06bd47487","chongqing-cmcc","running","30234138bae2d470fc9f25a0dd6ceca9","16","32768","20480","linux","centos 6.9 x86_64","1595433600","1598112000"
"d1b5a2433e1897d1bd6b274303062802","48944","56ed39fd904f87b8dfb6b3de6f32b5df","shijiazhuang-cmcc-2","running","30234138bae2d470fc9f25a0dd6ceca9","16","32768","20480","linux","centos 6.9 x86_64","1595433600","1598112000"
"3ad6714ebcb2b75aed9a5a604b372863","48944","0d2c926857874ecbf7e70df100b4f79d","shijiazhuang-cmcc-2","running","30234138bae2d470fc9f25a0dd6ceca9","16","32768","20480","linux","centos 6.9 x86_64","1595433600","1598112000"
"2e2e90bac5510fe0c7dd419910458dac","48944","b6861cdf7648cacd81e4dd8494b13f67","hefei-cmcc","running","30234138bae2d470fc9f25a0dd6ceca9","16","32768","20480","linux","centos 6.9 x86_64","1595433600","1598112000"
"ac62707fd237f162f363a9583de205c4","48944","0d2c926857874ecbf7e70df100b4f79d","shijiazhuang-cmcc-2","running","30234138bae2d470fc9f25a0dd6ceca9","16","32768","20480","linux","centos 6.9 x86_64","1595433600","1598112000"
"754afad8be9c06865b938d71e26331a2","48944","0d2c926857874ecbf7e70df100b4f79d","shijiazhuang-cmcc-2","running","30234138bae2d470fc9f25a0dd6ceca9","16","32768","20480","linux","centos 6.9 x86_64","1595433600","1598112000"
"af411a9d4132e5a9145fb6ba28d9b3ce","46473","bdbbbd4258bb79e32d57496e62c77ef0","xian-telecom","running","9ea037e47b6063ddfe4b1d4551ac5a5b","1","2048","20480","linux","centos 7.3 x86_64","1590137639","4743737639"
"f84fa5be767f8b5196b86bbd1b77c7a8","46473","ce881d40be8b96f9d4c021e33c5c64b7","xian-cmcc","running","9ea037e47b6063ddfe4b1d4551ac5a5b","1","2048","20480","linux","centos 7.3 x86_64","1590146274","4743746274"
"ba445dd67fe25d858c6c79fade736daa","89077","a835a39f6076eee4617e57b1805abdcb","chongqing-telecom","running","589b0cb20a915ccd16df6b4476e648d5","2","4096","61443","linux","centos 7.4 x86_64","1529488536","1961024536"
