vm,sea_max,sea_avg,sea_min
00060b8a63afed0d4a8e4066b273e7fb,0.03763279023187038,0.04503040413889292,0.050166706235739156
0007b9886b07d366f7848cdd79fb245c,0.029338494699033824,0.04418842285228641,0.026727746681167286
000b27c61e7ed1954fa9907918dc7c18,0.2902289813504668,0.21298414381921948,0.13567925487500676
000e0f1252ab4fb0fbc3a101a1456468,0.0425527293272131,0.020812628851019754,0.035730841197384566
0011042741e6f670f02914c947b46b9c,16067.0,16067.0,16067.0
0013252beb4a247ba2f933a0b4543fcb,0.5531048416958824,0.6624567818336622,0.5985874970951199
0017fe3a4075b6396440c1baff49e880,0.18299723424218128,0.20579984788893457,0.22270825408900696
002bd4562d9443ac99f54e399ed03aa7,0.14665675107681686,0.01849907745048296,0.015586077099090767
002f9021fea089e1ce0168e800cb2e62,0.05480197686077937,0.05319086714651078,0.03224634922163616
003f2359c123e570bcdc4a4bfdf881ac,0.03487446982017206,0.06544001633998797,16067.0
004267840f360acdc906788146d1f04f,0.03520316930591283,0.040205372914918436,0.048252961298320685
0087dc9ff2c9219f01c0b627871ddb95,0.7670557804899784,0.7784139630699091,0.771172018942522
008db2235c0a91c4063a247c5ef0aabc,0.035085637579890805,0.04873862620542002,0.05019212677368945
0097fcff8e6c2f37168144fbbd6c1ea3,0.0721264396725525,0.07291760681623627,16067.0
009d35ac944238f25d1dfc9fbc8f43ff,0.03915592137715507,0.04849237262917361,0.026213215438279147
00aca08a22767de096e70ced302e28d6,0.38931285743790367,0.4405054544140625,0.2813537792823907
00ce43afef4991d302c0c3b4fa1c2858,0.3556126988711016,0.3746791045454101,0.3123112699567754
00d4d128cd3b5fa2076fcb9d0fda37c8,0.6522101023656792,0.6690531040803409,0.6408797904876582
00e327f978e2b121f6bd4ccdb9633a3d,0.4455095850860259,0.4327162367590819,0.44861979362473636
00ea3237c251a3078196883b2ed49361,0.24238786023031733,0.21482096918027682,0.18006081790494177
00ec0f8381a05c81d134f9eefff52db7,0.7758959500888022,0.7954931395147565,0.7936541978298851
00ed3966bcf32bf3c2dd01f93f14f603,0.4682718044386731,0.4281565307176358,0.27034238304878244
00edbbbdc869e421f1824fe9b5261fb7,0.728193949190736,0.7380488413565446,0.7305094197358663
00efea146844db8cf4de9534d1bae3ba,0.18143043778436785,0.6463511247335061,0.6662759496517485
00f0a7dba20068f1f10284e80c62301e,0.48194611327922765,0.468523434758092,0.2301787374474893
00f2287d65eaedf2f884cc47c423dd98,0.2381832050230288,0.34478138857189145,0.38068893245464175
0102c5c5b7caeecd1d7663e7f033ed8a,0.50314155008364,0.5173445023896591,0.5054307547718182
01051ef629776bed6d0352dbda79db67,0.3206261560630832,0.6116961811023283,0.5709294643533989
0108351b59922425a488907bafc2855e,0.05111567946074547,0.0510562872265542,0.06268495375157102
010c1c06f23d6fa3a466fda587109b82,0.668196816492832,0.7181214625289315,0.7049882266207621
