,vm,sea_min,sea_avg,sea_max
35,+8KOfBAyPhVkZVqbLoReXjffdZzQgaw8CC1PSkygVQ2zZg7a2X4WfvAUCT1UHdo3,0.07766796956081312,0.3677516259734843,0.2642521609598242
36,+8eTJJQE/39pPgLDOjET9A9wANtq/GSKU5HB/tGubvRVMgeNhoxp74yvgA6gR77U,0.21531709200583504,0.03599649882707667,0.045374480368688075
37,+8ekb18PVAEpbaJrocQ2f+X4tih3qJDBdIiRBqimIK2xGQw1Dx1VUK148pRM3LbJ,0.034769037514876366,0.09233373205149398,0.04178530921775758
38,+8jcNX18ilAMmNLls3yIKs7teiZmDhVp7sZoomxt5BBzXwXvTIeV+KueNsTOTr/s,0.04749152440065285,0.15469133780563915,0.20605422388791017
39,+8jswMFF/tHS9n67N2PZyoCwjwnsUULCfE0E4DRN+7BHOODtegBsQYAN5PUzAyFD,0.4101213128634468,0.4863508156198082,0.5744695006359728
40,+99fjTkOtpkswsxavrrgm07M0667prco5b1kCO5iEQzF6U5B57vlXIKIp+k8r2UM,0.05490534761459842,0.05470107879346775,0.03760041988752494
41,+9DEDVHahRH9OZSx9mlkdMeOrYxJvdLoUXjW025wnFz3b4o/GGmwha5a9W8WSvtQ,0.0575968384625013,0.030157380199685058,0.03131414473317473
42,+9NFKeSvYWDZ2Bya2l/hhNnP6FaKW51oUk1MZIHQXdIx3laAGGEhIdDDpz5IgXAw,0.07405498205616667,0.1838762027736569,0.06232634634498224
43,+A23lNNnvxBgpQcueuoYdgCq82allhlzuN2A4h7qT/J8PMoqHtbnob/cBUmA2iym,0.05920569111343743,0.33791623174249497,0.7966008706205621
44,+Ao9LW8sLxeKbxjSzU/XAeex1wbZrKs/o+P82mQN+7AhtXWs4qJiQY4p3qhtW8Y1,0.025414495151597105,0.04192409335023639,0.040824487762091355
45,+B/uT00/4+eR0jTP32+hn6m/4Ox4i83F+W+XispGcABcYnPh1QBaIUjauQTF4mzP,0.8909210342817915,0.9988422861519277,0.9797458193442047
46,+B43EBE3Nt82Qs4cWqX8x4BHAwsAsfLhQD0OZjVTXWSYPCSGteXamz0VqhDT8bV8,0.029334921688440208,0.05374956702422273,0.18790154844382734
47,+BBt/ix8xhAEDh0ZoL/SJwvv0DT7t+jzz5lji3ydOIS5XIbU4qBjH2b/h34nQfU7,0.029601465519051184,0.1530397753917847,0.850315322531389
48,+BEx7kv/No7rYmtvkbOv/9U09dze4sg+VyfT4FugZK0M8OdKML4hWN1jzghXblIi,0.11900438463978924,0.7494158171034979,0.6653556639872072
49,+BVcwJbo+lj/x+ZXWsEDANQ1/jqZGRNdsaNeRVpvlZiG6Cc83vPNWH/li7JjU42k,0.05787948150786215,0.24308578176272888,0.1611434809780684
50,+BzetAr5HmqEReB3o1QCrZc7//NK5s/HwmrnwGx3ndJx0XiCiKsNEmLxo6ve22+l,0.03118880121703682,0.0681262386037993,0.12674727577792355
51,+C23zL2HUIOLxAJ9Gi+Vl4ZoDg+VXR58Pd5XXpWFLR6SAowxzp+zxNH7idpkcMVP,0.044226044745401816,0.08170747221332075,0.07434282146425042
52,+CU/bMEZoVmZDlnRSumQwmPjUlgziY57ycB4Wey2kmeYp92QT4P73s61NISG7kf9,0.03149674441674366,0.27539626311786536,0.3505505593569457
53,+Ci+UAF2XkIUG2GN2h5o5xq5IjC+o/MtKB1YBvSNL5JQrsZyBiYglqV6AH6Sfwko,0.04414091222319505,0.06228841285974185,0.2816206255436653
54,+D6QXE/CT4biPnBMAjhN5W92MDb4WlQK6C8IUSBmfRcsYpxlM+hT1DMhnZ0BFHoz,0.14044848377028984,0.07850066125116695,0.039513618229950476
55,+DYS50ySwNGbgVcL+DY3PVOF5j8Zf8WJMQDoEpk+fwbK3Sa21j2rm9QDwLnasuiM,0.0604740215913262,0.17710870565947634,0.33844677846869864
56,+DeVmIuxo9asHTgqqj9I8kS2JZhof+KIV1oLKlc/k9m7nWxXDG9t7k0VEYVN9reQ,0.06866446232358892,0.027522188372500755,0.04662969922974691
57,+DgWYRc7osS9YTyO7UUxaJiXx3fun/BsIlHZmqg6ZD751k0HhHa3V2wLr2Lp+4zZ,0.08493894152798831,0.05334884469635692,0.04902746863209828
58,+EKKalx6gSoB8R5JdI+IvnTHeol7BBy/jf51t7Elsy8YHH1nPDoxFW7ie4WmTy4v,0.034245091808510875,0.05384824245163766,0.06269926192750452
59,+Ef6efUGc1AOGXvdO9CADoJgGYpEM6OJhBIqyfVxQlPFz1pDSNqgu4d9m/rHc24Z,0.11404308744575331,0.4504391371824782,0.22550408787105536
60,+EpFdWWwxTOGk9LlYIHljzmHhEbAXH6alU62nUbnemoL1qpJDFXVZNdY72HFXsmy,0.07273114032417949,0.21927847641577425,0.15125230887116636
61,+EqoktvQewfwaSCPqG6gaK5MlJfTQgFZHB/rjKbymR6o8Fx+/rQWQH+pQdJRwm6z,0.0648651637399058,0.2914210626276945,0.02997813098018831
62,+EzskimnJFlnPJEXe+ZvhQC4aiPbVluiJPQgsA2b9UfmHYUlJVlFMsGCVFi9KRI8,0.11521723246852222,0.9993802099666169,0.9981796052824276
63,+F69y9I3ABL+q8mxpszBWGUwRTrB+uEyx/pcQ+tAWOPxPAVV7XG4NucpoT5uOnUe,0.038659374752820885,0.04254090341815553,0.04161245386113965
64,+F7oGFq4lpVPMJGy1rhn/CynbvdgZln2DrPNHxHKgPc4g6/Yzet7+OxdX6kaEVQR,0.07845602119982809,0.050955125259652845,0.06834081607413289
65,+FLF1brxRHWSJSGZAUOaT3/LL9j0RExlElXOTiDoG9MxpDpT9ooskQrvzqCSCsDl,0.033446589957157546,0.3259734077499771,0.27815443732984046
66,+FlFyb6H6soL5jZkWXMkCORLP2xIXYBQ5a8kff4tmRzBIu/QwBg8EeSDhds2U49X,0.03754008472811987,0.112687756400908,0.08656225462649658
67,+FotJ6rtRQ0wIuYSqa0QTgnpGrlTGk9i+OOK/96j+KJS2nQmG0v/YrHFyGAGZbkO,0.07699449153318294,0.24099762934366198,0.1484516906753488
68,+G5Sx4AWrGzpppp4yh2/zypYUH0gHlqsIyEFLgM4hJYBfC+cPE9EHmOYUu+wudS2,0.034409029962547466,0.056921140570815876,0.18376874597603254
69,+GMdgYVsiKyvfwacEOxkc6ZLdLvtkfI3AuqiWPxpJfXLkt2SEWUjnSPMmm8XaMLd,0.9090964266847361,0.9180376718892944,0.8459708741887022
